Energía | FRONIUS Symo 15.0-3 208 (1),Energía MPP1 | FRONIUS Symo 15.0-3 208 (1),Energía MPP2 | FRONIUS Symo 15.0-3 208 (1),Potencia aparente | FRONIUS Symo 15.0-3 208 (1),Potencia reactiva | FRONIUS Symo 15.0-3 208 (1),Energía suministrada a la red,Producción_fotovoltaica_SFV,Date,Time
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:05
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:10
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:15
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:20
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:25
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:30
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:35
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:40
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:45
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,00:55
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:05
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:10
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:15
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:20
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:25
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:30
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:35
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:40
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:45
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,01:55
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:05
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:10
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:15
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:20
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:25
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:30
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:35
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:40
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:45
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,02:55
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:05
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:10
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:15
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:20
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:25
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:30
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:35
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:40
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:45
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,03:55
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,04:00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,04:05
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-07-01,04:10
