Energía | FRONIUS Symo 15.0-3 208 (1),Energía MPP1 | FRONIUS Symo 15.0-3 208 (1),Energía MPP2 | FRONIUS Symo 15.0-3 208 (1),Potencia aparente | FRONIUS Symo 15.0-3 208 (1),Potencia reactiva | FRONIUS Symo 15.0-3 208 (1),Energía suministrada a la red,Producción fotovoltaica,Unnamed: 8,Hora,Fecha
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:00,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:05,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:10,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:15,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:20,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:25,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:30,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:35,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:40,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:45,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:50,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,00:55,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:00,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:05,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:10,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:15,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:20,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:25,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:30,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:35,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:40,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:45,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:50,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,01:55,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,02:00,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,02:05,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,02:10,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,02:15,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,02:20,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,02:25,01.07.2023
"   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ","   0,00   ",,02:30,01.07.2023
