Date,GHI,DNI,DHI,TEMP,WS,WD,flagR,SE,SA,RH,AP,PWAT,WG,PREC,Time
13.02.2023,0,0,0,15.6,0.6,83,0,-10.37,76.71,89.1,745.4,21.2,3.7,0.0, 19:05
13.02.2023,0,0,0,15.5,0.7,87,0,-12.81,76.65,89.5,745.6,21.2,3.7,0.0, 19:15
13.02.2023,0,0,0,15.5,0.7,91,0,-15.24,76.56,89.7,745.7,21.1,3.7,0.0, 19:25
13.02.2023,0,0,0,15.5,0.7,95,0,-17.66,76.44,90.0,745.8,21.1,4.1,0.0, 19:35
13.02.2023,0,0,0,15.4,0.8,98,0,-20.09,76.29,90.2,746.0,21.1,4.1,0.0, 19:45
13.02.2023,0,0,0,15.4,0.8,101,0,-22.52,76.11,90.5,746.1,21.0,4.1,0.0, 19:55
13.02.2023,0,0,0,15.4,0.9,104,0,-24.94,75.9,90.7,746.3,20.9,4.1,0.0, 20:05
13.02.2023,0,0,0,15.4,0.9,110,0,-27.36,75.65,90.8,746.3,20.9,4.1,0.0, 20:15
13.02.2023,0,0,0,15.4,1.0,115,0,-29.78,75.37,90.9,746.4,20.9,4.1,0.0, 20:25
13.02.2023,0,0,0,15.4,1.1,120,0,-32.19,75.04,91.0,746.5,20.9,5.3,0.0, 20:35
13.02.2023,0,0,0,15.3,1.1,124,0,-34.6,74.66,91.1,746.5,20.8,5.3,0.0, 20:45
13.02.2023,0,0,0,15.3,1.2,127,0,-37.01,74.23,91.3,746.6,20.8,5.3,0.0, 20:55
13.02.2023,0,0,0,15.2,1.3,131,0,-39.41,73.74,91.4,746.7,20.8,5.3,0.0, 21:05
13.02.2023,0,0,0,15.1,1.3,133,0,-41.81,73.19,91.4,746.8,20.8,5.3,0.0, 21:15
13.02.2023,0,0,0,15.0,1.4,135,0,-44.2,72.55,91.4,746.9,20.8,5.3,0.0, 21:25
13.02.2023,0,0,0,14.9,1.4,136,0,-46.57,71.83,91.4,747.0,20.8,6.5,0.0, 21:35
13.02.2023,0,0,0,14.8,1.4,138,0,-48.94,71.01,91.4,747.1,20.8,6.5,0.0, 21:45
13.02.2023,0,0,0,14.6,1.5,140,0,-51.3,70.07,91.5,747.2,20.7,6.5,0.0, 21:55
13.02.2023,0,0,0,14.5,1.5,141,0,-53.64,68.98,91.5,747.2,20.7,6.5,0.0, 22:05
13.02.2023,0,0,0,14.5,1.5,142,0,-55.96,67.73,91.5,747.3,20.7,6.5,0.0, 22:15
13.02.2023,0,0,0,14.5,1.5,143,0,-58.26,66.28,91.5,747.3,20.6,6.5,0.0, 22:25
13.02.2023,0,0,0,14.5,1.5,144,0,-60.54,64.57,91.5,747.3,20.6,6.9,0.0, 22:35
13.02.2023,0,0,0,14.5,1.5,145,0,-62.77,62.56,91.5,747.3,20.5,6.9,0.0, 22:45
13.02.2023,0,0,0,14.5,1.5,146,0,-64.97,60.18,91.5,747.3,20.5,6.9,0.0, 22:55
13.02.2023,0,0,0,14.6,1.5,147,0,-67.11,57.31,91.5,747.3,20.4,6.9,0.0, 23:05
13.02.2023,0,0,0,14.6,1.5,147,0,-69.17,53.85,91.5,747.3,20.4,6.9,0.0, 23:15
13.02.2023,0,0,0,14.6,1.5,146,0,-71.13,49.61,91.4,747.3,20.4,6.9,0.0, 23:25
13.02.2023,0,0,0,14.6,1.5,146,0,-72.96,44.41,91.4,747.3,20.3,7.0,0.0, 23:35
13.02.2023,0,0,0,14.5,1.6,145,0,-74.61,38.0,91.3,747.3,20.3,7.0,0.0, 23:45
13.02.2023,0,0,0,14.5,1.6,145,0,-76.01,30.15,91.2,747.3,20.2,7.0,0.0, 23:55
13.02.2023,0,0,0,14.6,1.6,144,0,-77.09,20.76,91.1,747.3,20.2,7.0,0.0, 00:05
13.02.2023,0,0,0,14.6,1.6,145,0,-77.76,10.0,90.7,747.2,20.1,7.0,0.0, 00:15
13.02.2023,0,0,0,14.6,1.6,145,0,-77.94,-1.54,90.3,747.1,20.1,7.0,0.0, 00:25
13.02.2023,0,0,0,14.6,1.6,146,0,-77.63,-12.95,89.9,747.0,20.0,7.2,0.0, 00:35
13.02.2023,0,0,0,14.7,1.6,146,0,-76.84,-23.39,89.5,746.9,19.9,7.2,0.0, 00:45
13.02.2023,0,0,0,14.7,1.6,147,0,-75.67,-32.37,89.1,746.8,19.9,7.2,0.0, 00:55
13.02.2023,0,0,0,14.7,1.7,147,0,-74.2,-39.82,88.7,746.7,19.8,7.2,0.0, 01:05
13.02.2023,0,0,0,14.7,1.7,147,0,-72.49,-45.89,88.4,746.6,19.7,7.2,0.0, 01:15
13.02.2023,0,0,0,14.7,1.7,146,0,-70.62,-50.82,88.2,746.5,19.7,7.2,0.0, 01:25
13.02.2023,0,0,0,14.6,1.8,145,0,-68.63,-54.83,88.0,746.4,19.6,7.5,0.0, 01:35
13.02.2023,0,0,0,14.6,1.8,145,0,-66.55,-58.12,87.8,746.3,19.5,7.5,0.0, 01:45
