dhi,DHI,GHI,period_end,period,Date,Time
0,0,0,2023-01-01T00:05:00Z,PT5M,2023-01-01, 19:05
0,0,0,2023-01-01T00:10:00Z,PT5M,2023-01-01, 19:10
0,0,0,2023-01-01T00:15:00Z,PT5M,2023-01-01, 19:15
0,0,0,2023-01-01T00:20:00Z,PT5M,2023-01-01, 19:20
0,0,0,2023-01-01T00:25:00Z,PT5M,2023-01-01, 19:25
0,0,0,2023-01-01T00:30:00Z,PT5M,2023-01-01, 19:30
0,0,0,2023-01-01T00:35:00Z,PT5M,2023-01-01, 19:35
0,0,0,2023-01-01T00:40:00Z,PT5M,2023-01-01, 19:40
0,0,0,2023-01-01T00:45:00Z,PT5M,2023-01-01, 19:45
0,0,0,2023-01-01T00:50:00Z,PT5M,2023-01-01, 19:50
0,0,0,2023-01-01T00:55:00Z,PT5M,2023-01-01, 19:55
0,0,0,2023-01-01T01:00:00Z,PT5M,2023-01-01, 20:00
0,0,0,2023-01-01T01:05:00Z,PT5M,2023-01-01, 20:05
0,0,0,2023-01-01T01:10:00Z,PT5M,2023-01-01, 20:10
0,0,0,2023-01-01T01:15:00Z,PT5M,2023-01-01, 20:15
0,0,0,2023-01-01T01:20:00Z,PT5M,2023-01-01, 20:20
0,0,0,2023-01-01T01:25:00Z,PT5M,2023-01-01, 20:25
0,0,0,2023-01-01T01:30:00Z,PT5M,2023-01-01, 20:30
0,0,0,2023-01-01T01:35:00Z,PT5M,2023-01-01, 20:35
0,0,0,2023-01-01T01:40:00Z,PT5M,2023-01-01, 20:40
0,0,0,2023-01-01T01:45:00Z,PT5M,2023-01-01, 20:45
0,0,0,2023-01-01T01:50:00Z,PT5M,2023-01-01, 20:50
0,0,0,2023-01-01T01:55:00Z,PT5M,2023-01-01, 20:55
0,0,0,2023-01-01T02:00:00Z,PT5M,2023-01-01, 21:00
0,0,0,2023-01-01T02:05:00Z,PT5M,2023-01-01, 21:05
0,0,0,2023-01-01T02:10:00Z,PT5M,2023-01-01, 21:10
0,0,0,2023-01-01T02:15:00Z,PT5M,2023-01-01, 21:15
0,0,0,2023-01-01T02:20:00Z,PT5M,2023-01-01, 21:20
0,0,0,2023-01-01T02:25:00Z,PT5M,2023-01-01, 21:25
0,0,0,2023-01-01T02:30:00Z,PT5M,2023-01-01, 21:30
0,0,0,2023-01-01T02:35:00Z,PT5M,2023-01-01, 21:35
0,0,0,2023-01-01T02:40:00Z,PT5M,2023-01-01, 21:40
0,0,0,2023-01-01T02:45:00Z,PT5M,2023-01-01, 21:45
0,0,0,2023-01-01T02:50:00Z,PT5M,2023-01-01, 21:50
0,0,0,2023-01-01T02:55:00Z,PT5M,2023-01-01, 21:55
0,0,0,2023-01-01T03:00:00Z,PT5M,2023-01-01, 22:00
0,0,0,2023-01-01T03:05:00Z,PT5M,2023-01-01, 22:05
0,0,0,2023-01-01T03:10:00Z,PT5M,2023-01-01, 22:10
0,0,0,2023-01-01T03:15:00Z,PT5M,2023-01-01, 22:15
0,0,0,2023-01-01T03:20:00Z,PT5M,2023-01-01, 22:20
0,0,0,2023-01-01T03:25:00Z,PT5M,2023-01-01, 22:25
0,0,0,2023-01-01T03:30:00Z,PT5M,2023-01-01, 22:30
0,0,0,2023-01-01T03:35:00Z,PT5M,2023-01-01, 22:35
0,0,0,2023-01-01T03:40:00Z,PT5M,2023-01-01, 22:40
0,0,0,2023-01-01T03:45:00Z,PT5M,2023-01-01, 22:45
0,0,0,2023-01-01T03:50:00Z,PT5M,2023-01-01, 22:50
0,0,0,2023-01-01T03:55:00Z,PT5M,2023-01-01, 22:55
0,0,0,2023-01-01T04:00:00Z,PT5M,2023-01-01, 23:00
0,0,0,2023-01-01T04:05:00Z,PT5M,2023-01-01, 23:05
0,0,0,2023-01-01T04:10:00Z,PT5M,2023-01-01, 23:10
0,0,0,2023-01-01T04:15:00Z,PT5M,2023-01-01, 23:15
0,0,0,2023-01-01T04:20:00Z,PT5M,2023-01-01, 23:20
0,0,0,2023-01-01T04:25:00Z,PT5M,2023-01-01, 23:25
0,0,0,2023-01-01T04:30:00Z,PT5M,2023-01-01, 23:30
0,0,0,2023-01-01T04:35:00Z,PT5M,2023-01-01, 23:35
0,0,0,2023-01-01T04:40:00Z,PT5M,2023-01-01, 23:40
0,0,0,2023-01-01T04:45:00Z,PT5M,2023-01-01, 23:45
0,0,0,2023-01-01T04:50:00Z,PT5M,2023-01-01, 23:50
0,0,0,2023-01-01T04:55:00Z,PT5M,2023-01-01, 23:55
0,0,0,2023-01-01T05:00:00Z,PT5M,2023-01-01, 00:00
0,0,0,2023-01-01T05:05:00Z,PT5M,2023-01-01, 00:05
0,0,0,2023-01-01T05:10:00Z,PT5M,2023-01-01, 00:10
0,0,0,2023-01-01T05:15:00Z,PT5M,2023-01-01, 00:15
0,0,0,2023-01-01T05:20:00Z,PT5M,2023-01-01, 00:20
0,0,0,2023-01-01T05:25:00Z,PT5M,2023-01-01, 00:25
