dhi,DHI,GHI,period_end,period,Date,Time
0,0,0,2023-02-13T00:00:00Z,PT5M,2023-02-13, 19:00
0,0,0,2023-02-13T00:05:00Z,PT5M,2023-02-13, 19:05
0,0,0,2023-02-13T00:10:00Z,PT5M,2023-02-13, 19:10
0,0,0,2023-02-13T00:15:00Z,PT5M,2023-02-13, 19:15
0,0,0,2023-02-13T00:20:00Z,PT5M,2023-02-13, 19:20
0,0,0,2023-02-13T00:25:00Z,PT5M,2023-02-13, 19:25
0,0,0,2023-02-13T00:30:00Z,PT5M,2023-02-13, 19:30
0,0,0,2023-02-13T00:35:00Z,PT5M,2023-02-13, 19:35
0,0,0,2023-02-13T00:40:00Z,PT5M,2023-02-13, 19:40
0,0,0,2023-02-13T00:45:00Z,PT5M,2023-02-13, 19:45
0,0,0,2023-02-13T00:50:00Z,PT5M,2023-02-13, 19:50
0,0,0,2023-02-13T00:55:00Z,PT5M,2023-02-13, 19:55
0,0,0,2023-02-13T01:00:00Z,PT5M,2023-02-13, 20:00
0,0,0,2023-02-13T01:05:00Z,PT5M,2023-02-13, 20:05
0,0,0,2023-02-13T01:10:00Z,PT5M,2023-02-13, 20:10
0,0,0,2023-02-13T01:15:00Z,PT5M,2023-02-13, 20:15
0,0,0,2023-02-13T01:20:00Z,PT5M,2023-02-13, 20:20
0,0,0,2023-02-13T01:25:00Z,PT5M,2023-02-13, 20:25
0,0,0,2023-02-13T01:30:00Z,PT5M,2023-02-13, 20:30
0,0,0,2023-02-13T01:35:00Z,PT5M,2023-02-13, 20:35
0,0,0,2023-02-13T01:40:00Z,PT5M,2023-02-13, 20:40
0,0,0,2023-02-13T01:45:00Z,PT5M,2023-02-13, 20:45
0,0,0,2023-02-13T01:50:00Z,PT5M,2023-02-13, 20:50
0,0,0,2023-02-13T01:55:00Z,PT5M,2023-02-13, 20:55
0,0,0,2023-02-13T02:00:00Z,PT5M,2023-02-13, 21:00
0,0,0,2023-02-13T02:05:00Z,PT5M,2023-02-13, 21:05
0,0,0,2023-02-13T02:10:00Z,PT5M,2023-02-13, 21:10
0,0,0,2023-02-13T02:15:00Z,PT5M,2023-02-13, 21:15
0,0,0,2023-02-13T02:20:00Z,PT5M,2023-02-13, 21:20
0,0,0,2023-02-13T02:25:00Z,PT5M,2023-02-13, 21:25
0,0,0,2023-02-13T02:30:00Z,PT5M,2023-02-13, 21:30
0,0,0,2023-02-13T02:35:00Z,PT5M,2023-02-13, 21:35
0,0,0,2023-02-13T02:40:00Z,PT5M,2023-02-13, 21:40
0,0,0,2023-02-13T02:45:00Z,PT5M,2023-02-13, 21:45
