air_temp,albedo,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,GHI,gti,period_end,period,Date,Time
13,0.14,0,0,49.6,12.1,0,0,2023-01-19T00:00:00Z,PT5M,2023-01-19, 19:00
13,0.14,0,0,49.6,12.1,0,0,2023-01-19T00:05:00Z,PT5M,2023-01-19, 19:05
13,0.14,0,0,48.4,12.0,0,0,2023-01-19T00:10:00Z,PT5M,2023-01-19, 19:10
13,0.14,0,0,41.9,12.0,0,0,2023-01-19T00:15:00Z,PT5M,2023-01-19, 19:15
13,0.14,0,0,40.5,12.0,0,0,2023-01-19T00:20:00Z,PT5M,2023-01-19, 19:20
13,0.14,0,0,41.9,11.9,0,0,2023-01-19T00:25:00Z,PT5M,2023-01-19, 19:25
13,0.14,0,0,48.4,11.9,0,0,2023-01-19T00:30:00Z,PT5M,2023-01-19, 19:30
13,0.14,0,0,60.1,11.8,0,0,2023-01-19T00:35:00Z,PT5M,2023-01-19, 19:35
13,0.14,0,0,70.2,11.8,0,0,2023-01-19T00:40:00Z,PT5M,2023-01-19, 19:40
13,0.14,0,0,75.5,11.7,0,0,2023-01-19T00:45:00Z,PT5M,2023-01-19, 19:45
13,0.14,0,0,77.2,11.7,0,0,2023-01-19T00:50:00Z,PT5M,2023-01-19, 19:50
13,0.14,0,0,78.0,11.7,0,0,2023-01-19T00:55:00Z,PT5M,2023-01-19, 19:55
13,0.14,0,0,73.8,11.6,0,0,2023-01-19T01:00:00Z,PT5M,2023-01-19, 20:00
13,0.14,0,0,69.3,11.6,0,0,2023-01-19T01:05:00Z,PT5M,2023-01-19, 20:05
12,0.14,0,0,62.3,11.6,0,0,2023-01-19T01:10:00Z,PT5M,2023-01-19, 20:10
12,0.14,0,0,55.6,11.6,0,0,2023-01-19T01:15:00Z,PT5M,2023-01-19, 20:15
12,0.14,0,0,54.4,11.6,0,0,2023-01-19T01:20:00Z,PT5M,2023-01-19, 20:20
12,0.14,0,0,65.4,11.6,0,0,2023-01-19T01:25:00Z,PT5M,2023-01-19, 20:25
12,0.14,0,0,78.8,11.6,0,0,2023-01-19T01:30:00Z,PT5M,2023-01-19, 20:30
12,0.14,0,0,85.1,11.5,0,0,2023-01-19T01:35:00Z,PT5M,2023-01-19, 20:35
12,0.14,0,0,89.1,11.5,0,0,2023-01-19T01:40:00Z,PT5M,2023-01-19, 20:40
12,0.14,0,0,90.5,11.5,0,0,2023-01-19T01:45:00Z,PT5M,2023-01-19, 20:45
12,0.14,0,0,91.4,11.5,0,0,2023-01-19T01:50:00Z,PT5M,2023-01-19, 20:50
12,0.14,0,0,91.9,11.5,0,0,2023-01-19T01:55:00Z,PT5M,2023-01-19, 20:55
12,0.14,0,0,92.3,11.5,0,0,2023-01-19T02:00:00Z,PT5M,2023-01-19, 21:00
12,0.14,0,0,92.7,11.5,0,0,2023-01-19T02:05:00Z,PT5M,2023-01-19, 21:05
12,0.14,0,0,92.3,11.5,0,0,2023-01-19T02:10:00Z,PT5M,2023-01-19, 21:10
12,0.14,0,0,92.3,11.6,0,0,2023-01-19T02:15:00Z,PT5M,2023-01-19, 21:15
12,0.14,0,0,91.4,11.6,0,0,2023-01-19T02:20:00Z,PT5M,2023-01-19, 21:20
12,0.14,0,0,88.0,11.6,0,0,2023-01-19T02:25:00Z,PT5M,2023-01-19, 21:25
12,0.14,0,0,84.4,11.6,0,0,2023-01-19T02:30:00Z,PT5M,2023-01-19, 21:30
12,0.14,0,0,78.0,11.7,0,0,2023-01-19T02:35:00Z,PT5M,2023-01-19, 21:35
12,0.14,0,0,71.2,11.7,0,0,2023-01-19T02:40:00Z,PT5M,2023-01-19, 21:40
12,0.14,0,0,57.9,11.7,0,0,2023-01-19T02:45:00Z,PT5M,2023-01-19, 21:45
12,0.14,0,0,47.1,11.7,0,0,2023-01-19T02:50:00Z,PT5M,2023-01-19, 21:50
12,0.14,0,0,37.8,11.8,0,0,2023-01-19T02:55:00Z,PT5M,2023-01-19, 21:55
12,0.14,0,0,30.7,11.8,0,0,2023-01-19T03:00:00Z,PT5M,2023-01-19, 22:00
12,0.14,0,0,27.7,11.8,0,0,2023-01-19T03:05:00Z,PT5M,2023-01-19, 22:05
12,0.14,0,0,24.7,11.7,0,0,2023-01-19T03:10:00Z,PT5M,2023-01-19, 22:10
12,0.14,0,0,26.2,11.7,0,0,2023-01-19T03:15:00Z,PT5M,2023-01-19, 22:15
12,0.14,0,0,24.7,11.6,0,0,2023-01-19T03:20:00Z,PT5M,2023-01-19, 22:20
12,0.14,0,0,26.2,11.6,0,0,2023-01-19T03:25:00Z,PT5M,2023-01-19, 22:25
12,0.14,0,0,27.7,11.5,0,0,2023-01-19T03:30:00Z,PT5M,2023-01-19, 22:30
12,0.14,0,0,30.7,11.5,0,0,2023-01-19T03:35:00Z,PT5M,2023-01-19, 22:35
12,0.14,0,0,26.2,11.4,0,0,2023-01-19T03:40:00Z,PT5M,2023-01-19, 22:40
12,0.14,0,0,23.1,11.4,0,0,2023-01-19T03:45:00Z,PT5M,2023-01-19, 22:45
11,0.14,0,0,23.1,11.3,0,0,2023-01-19T03:50:00Z,PT5M,2023-01-19, 22:50
11,0.14,0,0,20.0,11.3,0,0,2023-01-19T03:55:00Z,PT5M,2023-01-19, 22:55
