air_temp,dni,ghi,period_end,period
11,0,0,2023-01-01T01:00:00Z,PT60M
11,0,0,2023-01-01T02:00:00Z,PT60M
11,0,0,2023-01-01T03:00:00Z,PT60M
10,0,0,2023-01-01T04:00:00Z,PT60M
10,0,0,2023-01-01T05:00:00Z,PT60M
10,0,0,2023-01-01T06:00:00Z,PT60M
11,0,0,2023-01-01T07:00:00Z,PT60M
10,0,0,2023-01-01T08:00:00Z,PT60M
10,0,0,2023-01-01T09:00:00Z,PT60M
10,0,0,2023-01-01T10:00:00Z,PT60M
10,0,0,2023-01-01T11:00:00Z,PT60M
10,17,37,2023-01-01T12:00:00Z,PT60M
11,287,221,2023-01-01T13:00:00Z,PT60M
12,536,473,2023-01-01T14:00:00Z,PT60M
14,669,688,2023-01-01T15:00:00Z,PT60M
15,411,733,2023-01-01T16:00:00Z,PT60M
16,568,865,2023-01-01T17:00:00Z,PT60M
17,3,389,2023-01-01T18:00:00Z,PT60M
16,10,436,2023-01-01T19:00:00Z,PT60M
15,0,314,2023-01-01T20:00:00Z,PT60M
15,0,261,2023-01-01T21:00:00Z,PT60M
14,0,100,2023-01-01T22:00:00Z,PT60M
14,0,42,2023-01-01T23:00:00Z,PT60M
13,0,0,2023-01-02T00:00:00Z,PT60M
12,0,0,2023-01-02T01:00:00Z,PT60M
12,0,0,2023-01-02T02:00:00Z,PT60M
12,0,0,2023-01-02T03:00:00Z,PT60M
12,0,0,2023-01-02T04:00:00Z,PT60M
12,0,0,2023-01-02T05:00:00Z,PT60M
12,0,0,2023-01-02T06:00:00Z,PT60M
11,0,0,2023-01-02T07:00:00Z,PT60M
11,0,0,2023-01-02T08:00:00Z,PT60M
11,0,0,2023-01-02T09:00:00Z,PT60M
11,0,0,2023-01-02T10:00:00Z,PT60M
11,0,0,2023-01-02T11:00:00Z,PT60M
11,0,15,2023-01-02T12:00:00Z,PT60M
11,0,82,2023-01-02T13:00:00Z,PT60M
12,0,152,2023-01-02T14:00:00Z,PT60M
13,0,254,2023-01-02T15:00:00Z,PT60M
12,0,294,2023-01-02T16:00:00Z,PT60M
12,0,100,2023-01-02T17:00:00Z,PT60M
14,0,123,2023-01-02T18:00:00Z,PT60M
15,0,83,2023-01-02T19:00:00Z,PT60M
14,0,198,2023-01-02T20:00:00Z,PT60M
14,0,192,2023-01-02T21:00:00Z,PT60M
13,0,97,2023-01-02T22:00:00Z,PT60M
12,0,42,2023-01-02T23:00:00Z,PT60M
11,0,0,2023-01-03T00:00:00Z,PT60M
11,0,0,2023-01-03T01:00:00Z,PT60M
11,0,0,2023-01-03T02:00:00Z,PT60M
11,0,0,2023-01-03T03:00:00Z,PT60M
11,0,0,2023-01-03T04:00:00Z,PT60M
11,0,0,2023-01-03T05:00:00Z,PT60M
11,0,0,2023-01-03T06:00:00Z,PT60M
10,0,0,2023-01-03T07:00:00Z,PT60M
10,0,0,2023-01-03T08:00:00Z,PT60M
11,0,0,2023-01-03T09:00:00Z,PT60M
10,0,0,2023-01-03T10:00:00Z,PT60M
10,0,0,2023-01-03T11:00:00Z,PT60M
10,0,17,2023-01-03T12:00:00Z,PT60M
10,5,141,2023-01-03T13:00:00Z,PT60M
11,268,401,2023-01-03T14:00:00Z,PT60M
13,61,439,2023-01-03T15:00:00Z,PT60M
15,167,622,2023-01-03T16:00:00Z,PT60M
17,35,526,2023-01-03T17:00:00Z,PT60M
17,63,648,2023-01-03T18:00:00Z,PT60M
17,19,431,2023-01-03T19:00:00Z,PT60M
16,0,216,2023-01-03T20:00:00Z,PT60M
15,0,226,2023-01-03T21:00:00Z,PT60M
14,0,147,2023-01-03T22:00:00Z,PT60M
13,0,52,2023-01-03T23:00:00Z,PT60M
13,0,1,2023-01-04T00:00:00Z,PT60M
12,0,0,2023-01-04T01:00:00Z,PT60M
12,0,0,2023-01-04T02:00:00Z,PT60M
12,0,0,2023-01-04T03:00:00Z,PT60M
11,0,0,2023-01-04T04:00:00Z,PT60M
