Month,Average_GHI,Average_DHI,Average_DNI
01,370.44576354873976,200.56950538602558,257.48797670147167
02,351.866764226914,213.32522628158603,216.91801867138906
03,354.62066476286896,211.23284066603182,225.36841692616542
04,358.05861014641886,209.19984600653135,237.02884617445926
05,369.8178175203328,205.6364352338808,266.0483824289084
06,357.99490469873695,211.67383780172221,232.2497182572308
07,393.018206246552,214.93295113558474,280.64249237147374
08,329.8394356169916,214.06216369755825,181.93723786475914
09,394.2472222222222,210.6496258244546,278.68569888381535
10,409.04543328859097,196.97916731498137,330.9906964248297
11,383.0239550060383,216.35926685174465,258.82805155386916
